index,name,code
1,덴티움,145720
2,크라운제과,264900
3,성보화학,003080
4,한창,005110
5,인팩,023810
6,서연,007860
7,삼화전기,009470
8,대신 2X 니켈선물 ETN(H),510007
9,노루페인트,090350
10,TRUE 인버스 2X 천연가스 선물 ETN(H),570046
11,에이플러스에셋,244920
12,진흥기업우B,002785
13,크라운제과우,26490K
14,신한 인버스 2X 천연가스 선물 ETN,500054
15,신한 인버스 2X 천연가스 선물 ETN(H),500032
16,한일철강,002220
17,세화아이엠씨,145210
18,진에어,272450
19,깨끗한나라우,004545
20,BGF,027410
21,삼성 인버스 2X 천연가스 선물 ETN B,530069
22,노루페인트우,090355
23,깨끗한나라,004540
24,삼일씨엔에스,004440
25,영풍제지,006740
26,동원금속,018500
27,진양화학,051630
28,대영포장,014160
29,극동유화,014530
30,엔에스쇼핑,138250
31,진양산업,003780
32,태경산업,015890
33,포스코강판,058430
34,대신 아연선물 ETN(H),510002
35,제주항공,089590
36,웅진씽크빅,095720
37,두산퓨얼셀,336260
38,한국전자홀딩스,006200
39,한국철강,104700
40,성신양회,004980
41,솔루엠,248070
42,삼성 레버리지 구리 선물 ETN(H),530063
43,진흥기업,002780
44,진양폴리,010640
45,한미반도체,042700
46,롯데정밀화학,004000
47,대성산업,128820
48,신한 레버리지 구리 선물 ETN,500040
49,대림B&Co,005750
50,태영건설,009410
51,에넥스,011090
52,대신 니켈선물 ETN(H),510003
53,녹십자홀딩스2우,005257
54,금호석유우,011785
55,가온전선,000500
56,롯데관광개발,032350
57,휴스틸,005010
58,남광토건,001260
59,씨아이테크,004920
60,대신 2X 아연선물 ETN(H),510005
61,진원생명과학,011000
62,티웨이항공,091810
63,범양건영,002410
64,한진중공업홀딩스,003480
65,조광페인트,004910
66,엔씨소프트,036570
67,BYC우,001465
68,한화시스템,272210
69,고려제강,002240
70,서울식품우,004415
71,기신정기,092440
72,진도,088790
73,OCI,010060
74,KG동부제철우,016385
75,대상홀딩스우,084695
76,사조산업,007160
77,덕성,004830
78,한국항공우주,047810
79,코오롱글로벌,003070
80,한전산업,130660
81,한샘,009240
82,우신시스템,017370
83,SH에너지화학,002360
84,대원화성,024890
85,신한 인버스 천연가스 선물 ETN(H),500022
86,금호석유,011780
87,웅진,016880
88,세아제강,306200
89,두산밥캣,241560
90,두산중공업,034020
91,대신 알루미늄 선물 ETN(H),510014
92,한솔PNS,010420
93,현대비앤지스틸,004560
94,티에이치엔,019180
95,SK하이닉스,000660
96,화신,010690
97,KR모터스,000040
98,한국가스공사,036460
99,TRUE 플래티넘 선물 ETN,570052
100,NPC,004250
